date_logged,league,fixture,market,selection,model_prob,market_prob_at_pick,odds_at_pick,tier,actual_outcome,closing_odds,stake,pnl,beat_clv
2026-08-15T00:42:51,Premier League,Everton vs Crystal Palace,1X2,Draw,0.3225167246676138,0.2766862738528839,3.3857142857142852,amber,,,1.0,,
2026-08-15T00:42:51,Premier League,Everton vs Crystal Palace,1X2,Away,0.2398530861225819,0.2790410506516317,3.357142857142857,amber,,,1.0,,
2026-08-15T00:42:51,Premier League,Nott'm Forest vs Leeds,1X2,Away,0.2697421706810103,0.3019517821190037,3.099047619047619,amber,,,1.0,,
2026-08-15T00:42:51,Premier League,Brighton vs Aston Villa,1X2,Draw,0.3052123196702178,0.2599908025425337,3.5952380952380953,amber,,,1.0,,
2026-08-15T00:42:51,Premier League,Brighton vs Aston Villa,1X2,Away,0.2877772983000312,0.3195914293709102,2.9247619047619047,amber,,,1.0,,
2026-08-15T00:42:51,Premier League,Man City vs Bournemouth,1X2,Away,0.1244697062236742,0.1502044366237728,6.235714285714285,amber,,,1.0,,
2026-08-15T00:42:51,Premier League,Man City vs Bournemouth,O/U 2.5,Over 2.5,0.6344266032707248,0.6807511737089202,1.36,amber,,,1.0,,
2026-08-15T00:42:51,Premier League,Man City vs Bournemouth,O/U 2.5,Under 2.5,0.3655733967292752,0.3192488262910798,2.9,amber,,,1.0,,
2026-08-15T00:42:51,Premier League,Newcastle vs Liverpool,1X2,Draw,0.2695462566271044,0.243671428355901,3.832500000000001,amber,,,1.0,,
2026-08-15T00:42:51,Premier League,Fulham vs Chelsea,1X2,Home,0.3626997466871176,0.2928602657028699,3.1975,green,,,1.0,,
2026-08-15T00:42:51,Premier League,Fulham vs Chelsea,1X2,Draw,0.3005396031389961,0.255852650159816,3.66,amber,,,1.0,,
2026-08-15T00:43:11,EFL Championship,Bristol City vs Millwall,1X2,Home,0.315131328735198,0.3676318811116386,2.5552380952380953,green,,,1.0,,
2026-08-15T00:43:11,EFL Championship,Bristol City vs Millwall,1X2,Draw,0.3021576073453568,0.2814140761833171,3.338095238095238,amber,,,1.0,,
2026-08-15T00:43:11,EFL Championship,Bristol City vs Millwall,1X2,Away,0.3827110639194451,0.3509540427050441,2.6766666666666667,amber,,,1.0,,
2026-08-15T00:43:11,EFL Championship,Bristol City vs Millwall,O/U 2.5,Over 2.5,0.4280640565468528,0.4923239809422975,1.918,green,,,1.0,,
2026-08-15T00:43:11,EFL Championship,Bristol City vs Millwall,O/U 2.5,Under 2.5,0.5719359434531471,0.5076760190577024,1.86,green,,,1.0,,
2026-08-15T00:43:11,EFL Championship,Watford vs Southampton,1X2,Home,0.240747703738781,0.2761925697271778,3.4000000000000004,amber,,,1.0,,
2026-08-15T00:43:11,EFL Championship,Watford vs Southampton,1X2,Away,0.5055994356477516,0.458394920467701,2.0485714285714285,amber,,,1.0,,
2026-08-15T00:43:11,EFL Championship,Watford vs Southampton,O/U 2.5,Over 2.5,0.5705829547102534,0.535833891493637,1.7325,amber,,,1.0,,
2026-08-15T00:43:11,EFL Championship,Watford vs Southampton,O/U 2.5,Under 2.5,0.4294170452897465,0.464166108506363,2.0,amber,,,1.0,,
2026-08-15T00:44:16,Serie A,Udinese vs Como,1X2,Home,0.1810239036635345,0.2156267164589624,4.223000000000001,amber,,,1.0,,
2026-08-15T00:44:16,Serie A,Udinese vs Como,1X2,Draw,0.2399269561431911,0.2702052295567355,3.37,amber,,,1.0,,
2026-08-15T00:44:16,Serie A,Udinese vs Como,1X2,Away,0.5790491401932742,0.5141680539843019,1.771,green,,,1.0,,
2026-08-15T00:44:16,Serie A,Parma vs Cagliari,1X2,Home,0.3143884216525764,0.3674314252746575,2.5155000000000003,green,,,1.0,,
2026-08-15T00:44:16,Serie A,Parma vs Cagliari,1X2,Away,0.368245057675534,0.3202611747326406,2.886,amber,,,1.0,,
2026-08-15T00:44:16,Serie A,Genoa vs Napoli,1X2,Draw,0.2499834699546232,0.2812011875873216,3.3,amber,,,1.0,,
2026-08-15T00:44:16,Serie A,Bologna vs Lazio,1X2,Home,0.3947790817893276,0.4336787241032505,2.1399999999999997,amber,,,1.0,,
2026-08-15T00:44:16,Serie A,Bologna vs Lazio,1X2,Away,0.3176709065504248,0.2721620145398697,3.41,amber,,,1.0,,
2026-08-15T00:44:16,Serie A,Bologna vs Lazio,O/U 2.5,Over 2.5,0.3754828704066572,0.4234527687296416,2.2125,amber,,,1.0,,
2026-08-15T00:44:16,Serie A,Bologna vs Lazio,O/U 2.5,Under 2.5,0.6245171295933427,0.5765472312703583,1.625,amber,,,1.0,,
2026-08-15T00:44:38,Ligue 1,Marseille vs Strasbourg,1X2,Home,0.5201066932475922,0.5437538723317422,1.705,amber,,,1.0,,
2026-08-15T00:44:38,Ligue 1,Marseille vs Strasbourg,1X2,Away,0.2660416278540342,0.2241809581249234,4.1354999999999995,amber,,,1.0,,
2026-08-15T00:44:38,Ligue 1,Marseille vs Strasbourg,O/U 2.5,Over 2.5,0.6779745715290207,0.625,1.5,amber,,,1.0,,
2026-08-15T00:44:38,Ligue 1,Marseille vs Strasbourg,O/U 2.5,Under 2.5,0.3220254284709792,0.375,2.5,amber,,,1.0,,
2026-08-15T00:44:38,Ligue 1,Toulouse vs Lyon,1X2,Home,0.3664220165430805,0.297422825105111,3.1175,green,,,1.0,,
